protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
Q9H490	>sp|Q9H490|PIGU_HUMAN Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens OX=9606 GN=PIGU PE=1 SV=3	PIGU	19.5454069753737	19.6896254735332	19.6233424391389	19.9177071371944	19.7838520985905	19.6501432556829
O00443	>sp|O00443|P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2	PIK3C2A	18.7485868186327	18.8038400432957	18.576810172266	18.8904392700427	18.8593749806869	18.5913941558632
Q8NEB9	>sp|Q8NEB9|PK3C3_HUMAN Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens OX=9606 GN=PIK3C3 PE=1 SV=1	PIK3C3	18.9823709153395	18.4498922354088	18.1185212582556	18.8504339009565	18.3521999954807	18.7235024072884
Q9Y237	>sp|Q9Y237|PIN4_HUMAN Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Homo sapiens OX=9606 GN=PIN4 PE=1 SV=1	PIN4	21.4431135844788	20.2985966018722	20.7566095630695	21.4516731315948	20.3118151566541	20.6274073820287
A6NC86	>sp|A6NC86|PINLY_HUMAN phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein OS=Homo sapiens OX=9606 GN=PINLYP PE=2 SV=3	PINLYP	22.674417550107	20.4364704358497	19.9545354672776	21.522042327053	20.100131859726	20.8926178259662
P48426	>sp|P48426|PI42A_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens OX=9606 GN=PIP4K2A PE=1 SV=2	PIP4K2A	20.3193442573054	19.6251648168418	20.5508117191295	20.5392253931111	18.997345833908	20.9405253733039
P78356	>sp|P78356|PI42B_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Homo sapiens OX=9606 GN=PIP4K2B PE=1 SV=1	PIP4K2B	18.3310184059897	18.6212006905582	18.9677862935356	18.6326005405842	18.1095668863874	19.6922665533433
Q8TBX8	>sp|Q8TBX8|PI42C_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens OX=9606 GN=PIP4K2C PE=1 SV=3	PIP4K2C	20.7365175879404	20.7790066923426	20.7845087255684	21.0912173051939	20.543595572511	21.0950115591914
Q86T03	>sp|Q86T03|PP4P1_HUMAN Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase OS=Homo sapiens OX=9606 GN=PIP4P1 PE=1 SV=1	PIP4P1	21.1988290393811	21.3351917005268	21.1185433249121	20.3670061446143	21.0971160905411	21.1044366080782
Q99755	>sp|Q99755|PI51A_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens OX=9606 GN=PIP5K1A PE=1 SV=1	PIP5K1A	20.8359668831484	20.1896558639099	18.3226253417288	19.8672777799484	20.8063507912524	18.8695038925653
Q9P0Z9	>sp|Q9P0Z9|SOX_HUMAN Peroxisomal sarcosine oxidase OS=Homo sapiens OX=9606 GN=PIPOX PE=1 SV=2	PIPOX	22.5371053901142	23.1582487371826	23.3957055970002	22.3660220250859	23.3278593721475	23.7033179604093
P48739	>sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2	PITPNB	20.6673098954832	21.0331018806622	21.3383442393319	21.5099472952982	20.7589836701663	21.4805993680743
Q5JRX3	>sp|Q5JRX3|PREP_HUMAN Presequence protease, mitochondrial OS=Homo sapiens OX=9606 GN=PITRM1 PE=1 SV=3	PITRM1	22.5984749313728	21.8062794292044	21.6646884740058	22.4263098002536	22.0125411697231	22.1106947430395
O43164	>sp|O43164|PJA2_HUMAN E3 ubiquitin-protein ligase Praja-2 OS=Homo sapiens OX=9606 GN=PJA2 PE=1 SV=4	PJA2	17.9996940707933	17.8791784728479	17.6637937841433	17.7595964235871	18.3178732006863	17.0304042991776
Q13563	>sp|Q13563|PKD2_HUMAN Polycystin-2 OS=Homo sapiens OX=9606 GN=PKD2 PE=1 SV=3	PKD2	22.5978172660563	22.9780745166723	22.4388125122105	22.1900999852415	23.2466045388531	21.2974626657035
P14618	>sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	PKM	25.7960459712329	25.597409305787	26.2264143043046	26.2757952952823	25.452429424664	26.2386818103007
Q16512	>sp|Q16512|PKN1_HUMAN Serine/threonine-protein kinase N1 OS=Homo sapiens OX=9606 GN=PKN1 PE=1 SV=2	PKN1	18.8917226667104	18.2219338555803	19.0920081093604	18.3471984967287	18.6024986415623	17.6405897786405
Q16513	>sp|Q16513|PKN2_HUMAN Serine/threonine-protein kinase N2 OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1	PKN2	19.615388656614	19.7599827451	19.7354021861002	20.2419576981512	19.7107428592504	19.2968669700269
Q8NCC3	>sp|Q8NCC3|PAG15_HUMAN Phospholipase A2 group XV OS=Homo sapiens OX=9606 GN=PLA2G15 PE=1 SV=2	PLA2G15	22.3698797965729	21.7886056241532	23.6643176549532	21.9732006706076	21.9856974434824	23.5443385182849
Q9Y263	>sp|Q9Y263|PLAP_HUMAN Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2	PLAA	21.8840228416862	21.3781942022014	21.3072686827452	22.0214505272661	21.0285442109546	21.7828899887014
P00750	>sp|P00750|TPA_HUMAN Tissue-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAT PE=1 SV=1	PLAT	19.8120663805051	19.9757903517058	20.2234115927255	19.3493892895411	20.1552915782397	20.336799567697
