protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q8WU76	>sp|Q8WU76|SCFD2_HUMAN Sec1 family domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCFD2 PE=1 SV=2	SCFD2	20.6081133831586	20.4953358683497	19.8667376277616	20.0054739753792	20.2056976808101	20.1485898300569	19.5983966147581	19.8264414730476
Q96I15	>sp|Q96I15|SCLY_HUMAN Selenocysteine lyase OS=Homo sapiens OX=9606 GN=SCLY PE=1 SV=4	SCLY	21.4749861166413	21.4478448628278	20.7266553641377	20.9530447613439	21.4097268924635	20.6395188696183	20.9415488180602	21.3254591048327
Q99250	>sp|Q99250|SCN2A_HUMAN Sodium channel protein type 2 subunit alpha OS=Homo sapiens OX=9606 GN=SCN2A PE=1 SV=3	SCN2A	21.948291977052	22.0986042280375	21.4468310081515	21.3925462023352	21.2814896479335	21.2370941111883	21.6377182750129	22.0428250376221
O75880	>sp|O75880|SCO1_HUMAN Protein SCO1 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=SCO1 PE=1 SV=1	SCO1	21.8260728069462	21.7518470697948	21.8762503483419	22.048123761073	22.0208342410988	21.1859121738504	21.7399681070826	21.7692690304635
O43819	>sp|O43819|SCO2_HUMAN Protein SCO2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=SCO2 PE=1 SV=3	SCO2	21.2217526554171	20.8072937612641	20.5637191990889	20.0917346268017	20.7234357978069	19.9912034982683		21.0603355814985
P22307	>sp|P22307|SCP2_HUMAN Sterol carrier protein 2 OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2	SCP2	23.4077521070811	22.6491204285292	22.5906092984199	22.0831515648899	23.3893531397904	22.6782966669726	22.5698800471875	22.9118478304298
Q9HB40	>sp|Q9HB40|RISC_HUMAN Retinoid-inducible serine carboxypeptidase OS=Homo sapiens OX=9606 GN=SCPEP1 PE=1 SV=1	SCPEP1	22.1427245721598	21.8344746828643	21.4506022563837	21.254326582388	21.5898622240568	21.2322516547967	21.2228011680555	21.2996811637557
Q14160	>sp|Q14160|SCRIB_HUMAN Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=5	SCRIB	20.5178271900696	20.5941118785854	20.0259405177966	19.9489018248727	20.1659232373342	20.4952227917391	19.756778124601	19.9389660341503
Q12765	>sp|Q12765|SCRN1_HUMAN Secernin-1 OS=Homo sapiens OX=9606 GN=SCRN1 PE=1 SV=2	SCRN1	22.004163972273	22.2377737205737	22.3463751145746	22.592821015426	22.4713875191806	22.4400996715929	22.5118550066127	22.3299188525213
Q96FV2	>sp|Q96FV2|SCRN2_HUMAN Secernin-2 OS=Homo sapiens OX=9606 GN=SCRN2 PE=1 SV=3	SCRN2		19.1296431624761	20.2633080433209	20.9688353242101	18.4614942832556	19.151246084022	20.4630606887974	17.5509539446074
