protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
Q6UXH1	>sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1	CRELD2	22.7739973425988	23.2033794117994	22.5487610579179	22.487518397662	21.1023377978671	21.325318140537	21.2536380401695
P52943	>sp|P52943|CRIP2_HUMAN Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1	CRIP2	21.9668573570323	22.9429891011156	22.2974164547638	21.9876389956952	22.3148755239145	23.2552878922459	23.3831174893304
P46108	>sp|P46108|CRK_HUMAN Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2	CRK	19.7618008156307	18.6348555075312	18.4190003851233	19.4477281290282	21.1184452044755	20.3278006907378	21.2659962584197
Q14194	>sp|Q14194|DPYL1_HUMAN Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1	CRMP1	22.7846560185568	23.45735043184	22.9552173701296	22.581795997004	21.2001464329125	21.7312574830383	22.1379637398204
Q9BZJ0	>sp|Q9BZJ0|CRNL1_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4	CRNKL1	19.4735177074802	21.1315299451677	20.8281298871129	20.6898357435211	20.7536611712098	21.2523488530856	20.3816658111763
Q9UKG9	>sp|Q9UKG9|OCTC_HUMAN Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens OX=9606 GN=CROT PE=1 SV=2	CROT	20.0370609185344	18.6408669849818	21.4180782874554	21.0711262948231	21.1480359236026	20.9659592878302	21.0745555973967
O75718	>sp|O75718|CRTAP_HUMAN Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1	CRTAP	23.1694167983284	22.7271257757406	22.6093479458886	22.6702127350169	22.8945769650513	22.3629685048953	22.1459623605288
P02489	>sp|P02489|CRYAA_HUMAN Alpha-crystallin A chain OS=Homo sapiens OX=9606 GN=CRYAA PE=1 SV=2	CRYAA	18.5174343591498	20.3450592919833	19.46461561605		19.4155615981532	20.4894411832213	19.6386078774155
Q08257	>sp|Q08257|QOR_HUMAN Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1	CRYZ	23.11370908833	24.7226255650598	21.8346710522046	24.0561696184596	22.7355757813644	22.2956973842388	24.6443459197267
O95825	>sp|O95825|QORL1_HUMAN Quinone oxidoreductase-like protein 1 OS=Homo sapiens OX=9606 GN=CRYZL1 PE=1 SV=2	CRYZL1	17.9833550588793	17.5804161372998	18.1374847233751	18.038701100236	18.6943395927389	17.5446480767561	18.6255357404458
O75390	>sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2	CS	21.7922874977488	21.6018292939418	22.1531291700146	21.897501830303	24.9209960325893	25.6843551363098	25.1998314406056
O75534	>sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2	CSDE1	22.827082390867	22.8562488883609	22.3139984546014	22.7312013767422	22.3111422575733	21.674511381351	22.6291213806124
P55060	>sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3	CSE1L	21.5893117665365	21.4316672225952	21.3512645801481	21.9911011128443	21.2949746270842	20.6102212959003	21.0457982597619
P41240	>sp|P41240|CSK_HUMAN Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1	CSK	20.0379559066673	19.7577461529083	20.6262095342019	19.9135703398727	19.0657743806976	20.5281570285107	19.3887854601093
P68400	>sp|P68400|CSK21_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1	CSNK2A1	20.6688506471652	21.2518115502443	20.9719591500519	20.3484556098754	22.2753535399217	22.8688540414117	22.2560445391015
P19784	>sp|P19784|CSK22_HUMAN Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1	CSNK2A2	18.5822740204763	18.6807728466416	18.9471204474889	18.9721125878583	17.9923205488222	18.7233982367857	18.5550483733605
P67870	>sp|P67870|CSK2B_HUMAN Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1	CSNK2B	20.5020739306101	20.4091750526103	21.1507801426939	20.4760346730765	23.0723612499306	23.6798238531185	23.142008691671
Q16527	>sp|Q16527|CSRP2_HUMAN Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3	CSRP2	22.2681058929744	22.9880815742422	22.1803860380304	22.2940325087116	20.8339052923473	21.0916673673312	21.3146245586109
P04080	>sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2	CSTB	23.257621495499	22.4529626959999	23.3738550734977	23.2989704410849	23.1606419423388	21.5020017551103	21.5083354195539
Q05048	>sp|Q05048|CSTF1_HUMAN Cleavage stimulation factor subunit 1 OS=Homo sapiens OX=9606 GN=CSTF1 PE=1 SV=1	CSTF1	23.4260096754197	23.892486945571	23.3079464053011	23.0223677386001	21.2113341824188	22.0012024066958	22.0128182015962
Q12996	>sp|Q12996|CSTF3_HUMAN Cleavage stimulation factor subunit 3 OS=Homo sapiens OX=9606 GN=CSTF3 PE=1 SV=1	CSTF3	21.4132431229052	21.4035222339582	21.4963451535402	21.443194513552	20.5703384048447	20.6786288634743	20.6082853335072
Q13363	>sp|Q13363|CTBP1_HUMAN C-terminal-binding protein 1 OS=Homo sapiens OX=9606 GN=CTBP1 PE=1 SV=2	CTBP1	20.7571062713938	20.5086096879328	20.9802581136745	21.2744363455647	23.1485897348929	23.6412047319626	23.3042345892169
P56545	>sp|P56545|CTBP2_HUMAN C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1	CTBP2	20.5562796269795		20.610195233478	20.8145828432022	21.6847792321736	21.7819430307781	21.4338789964523
Q01459	>sp|Q01459|DIAC_HUMAN Di-N-acetylchitobiase OS=Homo sapiens OX=9606 GN=CTBS PE=1 SV=1	CTBS	20.3685185703085		20.4255368995192	20.2528368161453	19.509540770451	19.8694298680576	20.0910615392553
P35221	>sp|P35221|CTNA1_HUMAN Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	CTNNA1	21.565482593362	21.9570895448438	22.0968856411606	22.1907807683797	22.8098125264218	23.7158716583778	22.7122242716923
P35222	>sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1	CTNNB1	22.6107047128512	22.4731932596903	22.7858366152898	22.8825386143582	21.9783098584082	22.7353832209847	22.1408853312296
Q8WYA6	>sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1	CTNNBL1	20.6937590065149		20.9941624001677	20.7900101645756	21.6457235343105	21.7303649214736	20.8778260787609
O60716	>sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1	CTNND1	21.4051732280447	21.9068560285001	21.6594592067556	21.9456320453238	22.5247013908109	23.5207464587927	22.7625948308633
Q9UQB3	>sp|Q9UQB3|CTND2_HUMAN Catenin delta-2 OS=Homo sapiens OX=9606 GN=CTNND2 PE=1 SV=3	CTNND2	19.0751787192221	17.7474719600904	18.4202359508335	18.0298629823179	18.5206831074468	18.2758556499966	18.7071895149347
P17812	>sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2	CTPS1	21.8150879957112	21.6418716047131	21.5419842083299	22.1364989287544	21.3628805157646	20.5233083787584	21.3154629089138
Q9NRF8	>sp|Q9NRF8|PYRG2_HUMAN CTP synthase 2 OS=Homo sapiens OX=9606 GN=CTPS2 PE=1 SV=1	CTPS2	21.2864070013839	21.6277171059021	21.4059089018466	21.6866031888362	19.3680261035981	19.8014325143058	19.8849744247285
Q6PD62	>sp|Q6PD62|CTR9_HUMAN RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1	CTR9	17.7617221892593	16.2921998572602	18.6927551735963	18.3617547660146	19.5996509016111	19.9804237289977	19.6253067678645
P10619	>sp|P10619|PPGB_HUMAN Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=2	CTSA	23.2618445581865	23.7044781415651	23.2480653155683	22.7188877796061	22.2619144831894	22.5791910794074	23.3156078767126
P07858	>sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3	CTSB	24.1224968520584	23.506581302416	24.0351116408794	23.312183755445	24.2028087730649	24.3588568707356	24.4414469842944
P53634	>sp|P53634|CATC_HUMAN Dipeptidyl peptidase 1 OS=Homo sapiens OX=9606 GN=CTSC PE=1 SV=2	CTSC	23.2462789917188	23.3946400708992	23.7443875929415	23.1225484205463	22.4197977303453	23.8511877098969	23.4753154241089
P07339	>sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	CTSD	24.3365513395906	24.1674818040301	24.9833386374693	25.3520129180832	24.429823049444	25.5100812034326	25.3031749870619
