protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q8IVH4	>sp|Q8IVH4|MMAA_HUMAN Methylmalonic aciduria type A protein, mitochondrial OS=Homo sapiens OX=9606 GN=MMAA PE=1 SV=1	MMAA	19.7278257548403	20.2183614385833	19.6167463220752	20.1053882263515	20.3473448400875	19.5651884165793	19.8524704770613
Q96EY8	>sp|Q96EY8|MMAB_HUMAN Corrinoid adenosyltransferase MMAB OS=Homo sapiens OX=9606 GN=MMAB PE=1 SV=1	MMAB	21.566412836859	20.9707972519408	20.5909869737073	21.6567489924136	21.5416690903128	21.9384998298719	22.0449630857128
Q8N4V1	>sp|Q8N4V1|EMC5_HUMAN ER membrane protein complex subunit 5 OS=Homo sapiens OX=9606 GN=MMGT1 PE=1 SV=1	MMGT1	21.5862169758478	21.8983665737689	21.3927310747677	20.9584029674054	21.5504004460028	21.5899948449557	21.477424365754
P24347	>sp|P24347|MMP11_HUMAN Stromelysin-3 OS=Homo sapiens OX=9606 GN=MMP11 PE=1 SV=3	MMP11	21.1457665350217	21.0290831631517	22.0349125484255	21.1172957500121	19.9550508809681	21.5486208682901	21.1824713002073
P50281	>sp|P50281|MMP14_HUMAN Matrix metalloproteinase-14 OS=Homo sapiens OX=9606 GN=MMP14 PE=1 SV=3	MMP14	24.1500769168827	23.2104952017226	24.593442381532	23.7346928125247	23.5871014560249	23.1805182189718	23.7918735079841
P08253	>sp|P08253|MMP2_HUMAN 72 kDa type IV collagenase OS=Homo sapiens OX=9606 GN=MMP2 PE=1 SV=2	MMP2	21.6566365066012	22.4968793066067	22.21179598032	21.5709460888237	21.4928573405837	21.7183571631523	21.3999258238022
Q96T76	>sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2	MMS19	20.8653183589049	20.124487095239	20.8722133100656	20.620529098513	20.943399746074	21.3422330725525	20.8138333158663
Q9BU76	>sp|Q9BU76|MMTA2_HUMAN Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1	MMTAG2	20.1199713773129	20.8658692228217	19.4604439179788	19.2068219926781	18.9029777915096	19.9009463761993	19.5828394777769
P22033	>sp|P22033|MUTA_HUMAN Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens OX=9606 GN=MMUT PE=1 SV=4	MMUT	20.611838822355	20.9338822042103	21.2623162876939	21.0427087937937	20.6489263146127	20.5367088607478	20.8565214845146
P51948	>sp|P51948|MAT1_HUMAN CDK-activating kinase assembly factor MAT1 OS=Homo sapiens OX=9606 GN=MNAT1 PE=1 SV=1	MNAT1	19.1292287345786	17.8460148126181	19.1049801549639	18.8777070492712	18.5267197079101	19.1355382479721	18.8616204528205
