protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng
O15540	>sp|O15540|FABP7_HUMAN Fatty acid-binding protein, brain OS=Homo sapiens OX=9606 GN=FABP7 PE=1 SV=3	FABP7	23.0037104320787	24.8682374704368	25.9456290562836	24.0182667868326	23.3381184218559	23.9910205167979	21.7105077717672
O60427	>sp|O60427|FADS1_HUMAN Acyl-CoA (8-3)-desaturase OS=Homo sapiens OX=9606 GN=FADS1 PE=1 SV=3	FADS1	19.4694609886496	20.6592613011917	20.0020700169848	19.5166783771101	19.5443082865488	20.9355131579785	19.6282044507869
O95864	>sp|O95864|FADS2_HUMAN Acyl-CoA 6-desaturase OS=Homo sapiens OX=9606 GN=FADS2 PE=1 SV=1	FADS2	20.5831875973313	21.247255644495	20.7993553942134	19.8903526576338	20.006952268633	22.5913969325391	21.1786499065469
Q96CS3	>sp|Q96CS3|FAF2_HUMAN FAS-associated factor 2 OS=Homo sapiens OX=9606 GN=FAF2 PE=1 SV=2	FAF2	21.9154612172511	21.9446839304492	22.0527028222765	22.1670331865234	21.897182867144	22.1035456021117	21.8839479343759
P16930	>sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=2	FAH	20.7328076209774	20.5771059683091	20.9500857443665	21.073582726009	21.0154996438486	20.7887887371343	21.8778052484065
Q6P587	>sp|Q6P587|FAHD1_HUMAN Acylpyruvase FAHD1, mitochondrial OS=Homo sapiens OX=9606 GN=FAHD1 PE=1 SV=3	FAHD1	22.0111850915341	21.4734046686431	21.8263831864023	22.8240334127398	22.0915077207223	21.6077397844302	21.1142738899301
Q96GK7	>sp|Q96GK7|FAH2A_HUMAN Fumarylacetoacetate hydrolase domain-containing protein 2A OS=Homo sapiens OX=9606 GN=FAHD2A PE=1 SV=1	FAHD2A	22.2218565917556	21.6312866380058	22.0019693182978	22.3202522085547	22.2149002003731	21.8358579421805	22.1384350952866
Q8IWE2	>sp|Q8IWE2|NXP20_HUMAN Protein NOXP20 OS=Homo sapiens OX=9606 GN=FAM114A1 PE=1 SV=2	FAM114A1	22.2588124294294	20.6460170667161	20.8481132622858	21.3718439293631	21.3723378833101	21.624356013248	22.2826471688968
Q9NRY5	>sp|Q9NRY5|F1142_HUMAN Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=4	FAM114A2	20.7480768031591	20.2261734836835	20.6665757878745	20.6830236695311	20.5708865776918	20.1843643760423	20.8002198201373
Q9BPY3	>sp|Q9BPY3|F118B_HUMAN Protein FAM118B OS=Homo sapiens OX=9606 GN=FAM118B PE=1 SV=1	FAM118B	20.3046696239764	19.2073750355575	18.9828142551811	20.0806005958979	19.9456589314569	19.2152703558428	19.4355849693998
Q9NZB2	>sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2	FAM120A	21.3711119882968	21.5066446328375	21.4029690728868	21.4328624111908	21.1977119688004	21.1784277770526	21.316206413498
Q96C01	>sp|Q96C01|F136A_HUMAN Protein FAM136A OS=Homo sapiens OX=9606 GN=FAM136A PE=1 SV=1	FAM136A	22.1395390918332	22.8300930896581	22.5051559449281	22.549209762788	22.5009581560933	22.0169024637823	22.2401126597325
Q96A26	>sp|Q96A26|F162A_HUMAN Protein FAM162A OS=Homo sapiens OX=9606 GN=FAM162A PE=1 SV=2	FAM162A	24.1509161544818	23.1934104045565	23.8417708994191	24.0584120164557	23.0885018720853	22.8240868990818	22.3853608264064
Q9Y6X4	>sp|Q9Y6X4|F169A_HUMAN Soluble lamin-associated protein of 75 kDa OS=Homo sapiens OX=9606 GN=FAM169A PE=1 SV=2	FAM169A	19.1633033449168	20.6517096210338	21.3277159018133	20.3262535544962	19.8408960836925	18.8659232323417	18.5209057813848
Q8N128	>sp|Q8N128|F177A_HUMAN Protein FAM177A1 OS=Homo sapiens OX=9606 GN=FAM177A1 PE=1 SV=1	FAM177A1	21.4100349180167	21.8296415967717	21.8361606500991	21.5945147373742	21.6518192810486	21.3157303917554	20.8520724208292
Q8IYM0	>sp|Q8IYM0|F186B_HUMAN Protein FAM186B OS=Homo sapiens OX=9606 GN=FAM186B PE=2 SV=2	FAM186B	22.3293224045672	22.7934206931368	23.9666661232553	23.2094011545802	22.9502488374902	22.3446957389667	21.1541676557751
Q9H0X4	>sp|Q9H0X4|F234A_HUMAN Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1	FAM234A	20.2639337944041	21.1827730964315	21.2127039356177	20.8284574553156	20.7776204645236	20.4309333039712	20.0448514951976
Q92520	>sp|Q92520|FAM3C_HUMAN Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1	FAM3C	23.0545739781324	22.1585919296124	22.2326466616468	23.1124609333366	22.8606340190431	22.4064132987682	22.968045273732
Q14320	>sp|Q14320|FA50A_HUMAN Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2	FAM50A	21.2156782951557	20.6256791652709	20.7677386938884	20.8999136556511	21.2660788481854	21.1685163835718	21.2242759492297
Q9NYF3	>sp|Q9NYF3|FA53C_HUMAN Protein FAM53C OS=Homo sapiens OX=9606 GN=FAM53C PE=1 SV=1	FAM53C	21.6981239609572	23.7352666075674	24.201155640452	22.1752336672483	21.573053273521	23.0037483809016	21.2397189995824
Q8NCA5	>sp|Q8NCA5|FA98A_HUMAN Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2	FAM98A	21.4840616276408	21.1823378515107	20.5224032889189	21.1196430926432	21.5036801202727	21.9333647868672	21.9836674375466
Q52LJ0	>sp|Q52LJ0|FA98B_HUMAN Protein FAM98B OS=Homo sapiens OX=9606 GN=FAM98B PE=1 SV=2	FAM98B	21.728607618112	22.0615453069363	21.9188973649769	21.6153364105547	22.137566395054	21.9814248984954	22.0556661449952
Q9NW38	>sp|Q9NW38|FANCL_HUMAN E3 ubiquitin-protein ligase FANCL OS=Homo sapiens OX=9606 GN=FANCL PE=1 SV=2	FANCL	20.3573696828432	22.2337018896935	23.7619036523596	22.606764633248	21.1319070241634	21.7571011439761	
Q8WVX9	>sp|Q8WVX9|FACR1_HUMAN Fatty acyl-CoA reductase 1 OS=Homo sapiens OX=9606 GN=FAR1 PE=1 SV=1	FAR1	18.8719422636398	19.8412164562481	19.5790247692929	19.1609459078466	19.0148755370101	20.0393287554555	19.4687412311742
Q9Y4F1	>sp|Q9Y4F1|FARP1_HUMAN FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FARP1 PE=1 SV=1	FARP1	20.4122325575301	21.1423860935829	21.1184162165382	20.7867385383911	21.048279833978	20.8511861544283	20.8517374271897
Q9Y285	>sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3	FARSA	22.2873057217933	22.2635450888591	21.9530765757996	22.0407167611844	22.4011252738714	22.359419060598	22.6949547624631
Q9NSD9	>sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3	FARSB	22.2572199613161	22.0303263522441	21.8724072624054	22.0001758052072	22.3213550608995	22.4117600386509	22.7034856553863
P25445	>sp|P25445|TNR6_HUMAN Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens OX=9606 GN=FAS PE=1 SV=1	FAS	19.4564692575764	20.0185990773641	20.4723823390893	19.5661397862574	19.6048916373941	19.2466185253439	19.9506304365923
P49327	>sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	FASN	22.3841562607341	22.5166345606071	22.7225923573304	22.2752981869523	22.4048916820985	23.5614939570959	24.1989138775531
Q9NYY8	>sp|Q9NYY8|FAKD2_HUMAN FAST kinase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD2 PE=1 SV=1	FASTKD2	20.7032877133419	21.1059438472807	20.468364339957	20.9116546038094	20.5265848935315	20.4229510080421	20.1475501990388
Q14517	>sp|Q14517|FAT1_HUMAN Protocadherin Fat 1 OS=Homo sapiens OX=9606 GN=FAT1 PE=1 SV=2	FAT1	20.1622818240166	19.9126015010171	19.9913540224896	20.1416993576221	20.0856125135825	20.1752817704673	19.6026352679128
P62861	>sp|P62861|RS30_HUMAN Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2	FAU	26.0909288303025	25.9716202269854	25.4540841808323	25.3360799495172	25.657783898913	26.5980120506721	26.5167960522113
P22087	>sp|P22087|FBRL_HUMAN rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2	FBL	23.8324295504766	23.9806641574634	23.6193841454048	23.7843289825686	23.6253517269316	23.9853015681517	23.3390504762856
Q8WUP2	>sp|Q8WUP2|FBLI1_HUMAN Filamin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=FBLIM1 PE=1 SV=2	FBLIM1	21.722252555058	21.9902078943482	20.908295432531	21.7372954990912	22.4009714042542	21.6768722862193	21.5100974267534
P23142	>sp|P23142|FBLN1_HUMAN Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4	FBLN1	19.8185156130739	21.0467498296911	19.3369701658421	20.3404123072364	19.7340429434261	20.5848767454349	19.7204836047751
P35555	>sp|P35555|FBN1_HUMAN Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	FBN1	22.4199973268267	21.4521440191352	20.8284187603466	21.1910547672089	20.9261748117136	23.3211768498316	23.0854469072524
P35556	>sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3	FBN2	18.628125626787	20.378552569099	19.5586255375107	18.892412375911		19.1930888785996	18.7592787819909
Q96ME1	>sp|Q96ME1|FXL18_HUMAN F-box/LRR-repeat protein 18 OS=Homo sapiens OX=9606 GN=FBXL18 PE=1 SV=3	FBXL18	19.6435208888099	18.9278843938742	19.1007612130693	19.5169995331317	19.7491807188076	19.0803625677119	19.5251355861962
Q96IG2	>sp|Q96IG2|FXL20_HUMAN F-box/LRR-repeat protein 20 OS=Homo sapiens OX=9606 GN=FBXL20 PE=1 SV=2	FBXL20	19.2096399052006	19.2016232546003	19.3905505755487	19.6138286532294	19.4083018978329	18.8618462549331	18.6902375624624
Q8NEZ5	>sp|Q8NEZ5|FBX22_HUMAN F-box only protein 22 OS=Homo sapiens OX=9606 GN=FBXO22 PE=1 SV=1	FBXO22	20.2463181300601	19.964027921954	20.2488256130021	20.6516003275566	20.3243967941354	20.0473310302383	19.9927918884506
Q8TB52	>sp|Q8TB52|FBX30_HUMAN F-box only protein 30 OS=Homo sapiens OX=9606 GN=FBXO30 PE=1 SV=3	FBXO30	23.4396942274177	23.7917583138969	23.9951971377039	23.7376115258874	23.6475302498064	19.0062768361553	21.195550169729
P0C2W1	>sp|P0C2W1|FBSP1_HUMAN F-box/SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FBXO45 PE=1 SV=1	FBXO45	16.8141161687362	17.5099530219193	17.4331130433946		17.3257012817121	17.0523183555825	17.553066655615
Q9Y3I1	>sp|Q9Y3I1|FBX7_HUMAN F-box only protein 7 OS=Homo sapiens OX=9606 GN=FBXO7 PE=1 SV=1	FBXO7	19.835175203367	19.6811997189807	19.7985296734358	19.8644006444224	20.0588756402327	19.7014738161386	20.6740202281109
Q8N3Y1	>sp|Q8N3Y1|FBXW8_HUMAN F-box/WD repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=FBXW8 PE=1 SV=2	FBXW8	18.8010809001	18.6157706418153	18.5770437652886	18.4438805211605	18.9073809722265		18.5802487750027
Q9Y324	>sp|Q9Y324|FCF1_HUMAN rRNA-processing protein FCF1 homolog OS=Homo sapiens OX=9606 GN=FCF1 PE=1 SV=1	FCF1	21.1398056603559	21.5711067002974	21.2698544056372	20.5718861312987	21.0411774557727	21.2927532037324	20.7275795802063
P55899	>sp|P55899|FCGRN_HUMAN IgG receptor FcRn large subunit p51 OS=Homo sapiens OX=9606 GN=FCGRT PE=1 SV=1	FCGRT	20.4745009650576	20.7684583812964	20.4228137325052	21.1293700914158	21.8115349136037	19.6461837927184	20.2551461866841
P37268	>sp|P37268|FDFT_HUMAN Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1	FDFT1	21.6671290533557	21.8961948587732	22.4922276937016	21.502691575372	21.4584734541897	22.6067078107901	22.4205286979155
P14324	>sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4	FDPS	23.1748161612665	23.4350628796253	23.7301995623142	23.0528891770848	23.3837125324752	24.1651522882871	24.959815849534
P10109	>sp|P10109|ADX_HUMAN Adrenodoxin, mitochondrial OS=Homo sapiens OX=9606 GN=FDX1 PE=1 SV=1	FDX1	20.9810978602327	20.8223133441823	20.8883826201217	21.332445978458	20.6846248463503	20.6763409014168	20.4165008619503
