protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q13616	>sp|Q13616|CUL1_HUMAN Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2	CUL1	19.7148838875205	20.018499023839	19.5123465491331	19.849151842271	18.274852708624	19.131442129218	18.678503649142	18.5101653886246
Q13617	>sp|Q13617|CUL2_HUMAN Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=2	CUL2	20.1666647332768	19.3112561150007	20.0671451577675	20.4080617398018	19.9922417196761	19.9727812522234	20.2906240224445	19.7990408709463
Q13618	>sp|Q13618|CUL3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2	CUL3	20.3540377510661	20.3382816920271	20.1115629968852	20.0524392807722	19.8855325605515	20.1576085309633	20.1082915243256	19.8711528414492
Q13619	>sp|Q13619|CUL4A_HUMAN Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3	CUL4A	20.833488555162	21.0898863247145	20.5882598975089	21.2825570328837	21.27424969408	21.1828919244246	20.8463334944865	20.5434536073624
Q13620	>sp|Q13620|CUL4B_HUMAN Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4	CUL4B	22.0540068167879	22.3916866807358	22.0794984064376	22.1910114203039	21.2757799471253	21.584636997963	21.4049341015265	21.5794350714388
Q93034	>sp|Q93034|CUL5_HUMAN Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4	CUL5	18.9044623744527	18.7528519235646	18.415920840871	18.5665656758216	19.2123433868789	19.3349461283073	19.091416240786	19.1075296556898
Q9NTM9	>sp|Q9NTM9|CUTC_HUMAN Copper homeostasis protein cutC homolog OS=Homo sapiens OX=9606 GN=CUTC PE=1 SV=1	CUTC	21.026518851057	20.4082687999369	21.0218932305527	20.5277794208382	20.1316078103928	19.8314826648044	19.572028973607	18.9323766945547
Q9HCG8	>sp|Q9HCG8|CWC22_HUMAN Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens OX=9606 GN=CWC22 PE=1 SV=3	CWC22	18.6573887243431	18.7602921540593	18.2632746765294	18.7114893505517	17.6791818139985		18.2454942568853	17.5786855377281
O43169	>sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3	CYB5B	22.2936516928135	22.4771057216862	22.5369297120807	22.1902991319776	21.6902723027217	21.5898383540597	22.9020665224914	23.079766418008
Q9UHQ9	>sp|Q9UHQ9|NB5R1_HUMAN NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1	CYB5R1	22.9095478614286	22.8362138317141	23.1064540798763	22.6986547371768	22.4174839337358	21.7641696998007	21.3451515704649	22.1047806470652
P00387	>sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3	CYB5R3	23.0679933089272	22.5762618735559	23.9263961172787	23.4841200426522	25.3977061716394	25.1322735122345	24.8339103618628	25.539857417083
Q9BQA9	>sp|Q9BQA9|CYBC1_HUMAN Cytochrome b-245 chaperone 1 OS=Homo sapiens OX=9606 GN=CYBC1 PE=1 SV=1	CYBC1	21.1533503743094	21.042905058685	21.3002409597985	20.9712572256392	20.064813987404	19.9323701514976	19.9637626458035	19.8391002270246
P08574	>sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3	CYC1	22.1698883930457	22.7241429842395	22.2486893948668	21.8137125765857	22.721311765769	22.1868415423859	22.7864088332137	22.9263429033488
P99999	>sp|P99999|CYC_HUMAN Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2	CYCS	23.837635646202	22.8023588613448	24.4283427027514	23.5397931967012	24.6235377952071	23.7692039635625	24.8978567378027	24.5765806081189
Q7L576	>sp|Q7L576|CYFP1_HUMAN Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1	CYFIP1	21.2327804807975	21.6917611707875	21.4010287120344	21.5145875712111	20.5986256237305	20.8380797804867	20.8344104355158	20.7592274004592
Q8WWM9	>sp|Q8WWM9|CYGB_HUMAN Cytoglobin OS=Homo sapiens OX=9606 GN=CYGB PE=1 SV=1	CYGB	20.1080982898265	20.1284728755859		20.4353687956145		19.9380089302593	20.0707101720869	20.3383385476169
Q16850	>sp|Q16850|CP51A_HUMAN Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=4	CYP51A1	18.5330920835919	18.6373311984599	17.9694493874646	18.6931489682656	17.9838381332606	18.9918509704755	18.8412219272105	19.0061711259064
Q9H0Q0	>sp|Q9H0Q0|CYRIA_HUMAN CYFIP-related Rac1 interactor A OS=Homo sapiens OX=9606 GN=CYRIA PE=2 SV=1	CYRIA	21.9911001705035	22.0454564953933	22.9316842933285	21.6770260827314	20.7564611932756	21.8217197451482	21.3069601239451	21.0780391888299
Q9NUQ9	>sp|Q9NUQ9|CYRIB_HUMAN CYFIP-related Rac1 interactor B OS=Homo sapiens OX=9606 GN=CYRIB PE=1 SV=1	CYRIB	20.0582800691854	20.9756212364199	21.5658938646793	21.2729759228137	21.3449147919961	21.7352359258778	21.0136103210706	21.2720940108996
Q9NWV4	>sp|Q9NWV4|CZIB_HUMAN CXXC motif containing zinc binding protein OS=Homo sapiens OX=9606 GN=CZIB PE=1 SV=1	CZIB	21.5050957388553	21.7836110201924		21.1364285576218	22.0768619144251	21.3664620824654	23.5717633734472	23.137089557288
